username,full_text,Full Text,Case Folding,Text Cleaning,Tokenizing,Normalization,Stemming,Text Filtering,polarity_score,sentimen
Mfajarsultan,@OposisiCerdas jika sudah selesai dan resmi amin kalah dan Koalisi amin bergabung dengan si pemenang ini pemilu berikutnya jika di berikan umur lebih baik Golput saja,@OposisiCerdas jika sudah selesai dan resmi amin kalah dan Koalisi amin bergabung dengan si pemenang ini pemilu berikutnya jika di berikan umur lebih baik Golput saja,@oposisicerdas jika sudah selesai dan resmi amin kalah dan koalisi amin bergabung dengan si pemenang ini pemilu berikutnya jika di berikan umur lebih baik golput saja,jika sudah selesai dan resmi amin kalah dan koalisi amin bergabung dengan si pemenang ini pemilu berikutnya jika di berikan umur lebih baik golput saja,"['jika', 'sudah', 'selesai', 'dan', 'resmi', 'amin', 'kalah', 'dan', 'koalisi', 'amin', 'bergabung', 'dengan', 'si', 'pemenang', 'ini', 'pemilu', 'berikutnya', 'jika', 'di', 'berikan', 'umur', 'lebih', 'baik', 'golput', 'saja']","['jika', 'sudah', 'selesai', 'dan', 'resmi', 'amin', 'kalah', 'dan', 'koalisi', 'amin', 'bergabung', 'dengan', 'sih', 'pemenang', 'ini', 'pemilu', 'berikutnya', 'jika', 'di', 'berikan', 'umur', 'lebih', 'baik', 'golput', 'saja']","['jika', 'sudah', 'selesai', 'dan', 'resmi', 'amin', 'kalah', 'dan', 'koalisi', 'amin', 'gabung', 'dengan', 'sih', 'menang', 'ini', 'milu', 'ikut', 'jika', 'di', 'ikan', 'umur', 'lebih', 'baik', 'golput', 'saja']","['selesai', 'resmi', 'amin', 'kalah', 'koalisi', 'amin', 'gabung', 'menang', 'pemilu', 'ikut', 'ikan', 'umur', 'baik', 'golput']",2.0,positif
mileudibumi,@xbaebearx @arjwaderana Cuma keinget aja ya gw golput soalnya tp waktu itu bukannya dia pernah bilang kalo yg jadi korban ada beberapa yg skrg jadi kenal dan berteman sama dia ya? Maaf gw gtw soalnya gw cuma fokus kebaikan² masing² Paslon.,@xbaebearx @arjwaderana Cuma keinget aja ya gw golput soalnya tp waktu itu bukannya dia pernah bilang kalo yg jadi korban ada beberapa yg skrg jadi kenal dan berteman sama dia ya? Maaf gw gtw soalnya gw cuma fokus kebaikan² masing² Paslon.,@xbaebearx @arjwaderana cuma keinget aja ya gw golput soalnya tp waktu itu bukannya dia pernah bilang kalo yg jadi korban ada beberapa yg skrg jadi kenal dan berteman sama dia ya? maaf gw gtw soalnya gw cuma fokus kebaikan² masing² paslon.,cuma keinget aja ya gw golput soalnya tp waktu itu bukannya dia pernah bilang kalo yg jadi korban ada beberapa yg skrg jadi kenal dan berteman sama dia ya maaf gw gtw soalnya gw cuma fokus kebaikan masing paslon,"['cuma', 'keinget', 'aja', 'ya', 'gw', 'golput', 'soalnya', 'tp', 'waktu', 'itu', 'bukannya', 'dia', 'pernah', 'bilang', 'kalo', 'yg', 'jadi', 'korban', 'ada', 'beberapa', 'yg', 'skrg', 'jadi', 'kenal', 'dan', 'berteman', 'sama', 'dia', 'ya', 'maaf', 'gw', 'gtw', 'soalnya', 'gw', 'cuma', 'fokus', 'kebaikan', 'masing', 'paslon']","['cuma', 'teringat', 'saja', 'iya', 'saya', 'golput', 'soalnya', 'tapi', 'waktu', 'itu', 'bukannya', 'dia', 'pernah', 'bilang', 'kalo', 'yang', 'jadi', 'korban', 'ada', 'beberapa', 'yang', 'sekarang', 'jadi', 'kenal', 'dan', 'berteman', 'sama', 'dia', 'iya', 'maaf', 'saya', 'tidak tau', 'soalnya', 'saya', 'cuma', 'fokus', 'kebaikan', 'masing', 'paslon']","['cuma', 'ingat', 'saja', 'iya', 'saya', 'golput', 'soal', 'tapi', 'waktu', 'itu', 'bukan', 'dia', 'pernah', 'bilang', 'kalo', 'yang', 'jadi', 'korban', 'ada', 'beberapa', 'yang', 'sekarang', 'jadi', 'kenal', 'dan', 'teman', 'sama', 'dia', 'iya', 'maaf', 'saya', 'tidak tau', 'soal', 'saya', 'cuma', 'fokus', 'baik', 'masing', 'paslon']","['ingat', 'golput', 'soal', 'waktu', 'bukan', 'pernah', 'bilang', 'kalo', 'korban', 'beberapa', 'sekarang', 'kenal', 'teman', 'maaf', 'tidak tau', 'soal', 'fokus', 'baik', 'masing', 'paslon']",1.8,positif
yukoyusika,@__PASMANTAP Aneh masih mikir ke presiden ya kagak mikir ke legislatif masih si merah juga yg tinggi... Ntar presidennya kalah telak sama legislatifnya krn selama aq jd KPPS banyakan pada golput di legislatif loh... Tambah lagi penjudi online katanya juga masuk,@__PASMANTAP Aneh masih mikir ke presiden ya kagak mikir ke legislatif masih si merah juga yg tinggi... Ntar presidennya kalah telak sama legislatifnya krn selama aq jd KPPS banyakan pada golput di legislatif loh... Tambah lagi penjudi online katanya juga masuk,@__pasmantap aneh masih mikir ke presiden ya kagak mikir ke legislatif masih si merah juga yg tinggi... ntar presidennya kalah telak sama legislatifnya krn selama aq jd kpps banyakan pada golput di legislatif loh... tambah lagi penjudi online katanya juga masuk,aneh masih mikir ke presiden ya kagak mikir ke legislatif masih si merah juga yg tinggi ntar presidennya kalah telak sama legislatifnya krn selama aq jd kpps banyakan pada golput di legislatif loh tambah lagi penjudi online katanya juga masuk,"['aneh', 'masih', 'mikir', 'ke', 'presiden', 'ya', 'kagak', 'mikir', 'ke', 'legislatif', 'masih', 'si', 'merah', 'juga', 'yg', 'tinggi', 'ntar', 'presidennya', 'kalah', 'telak', 'sama', 'legislatifnya', 'krn', 'selama', 'aq', 'jd', 'kpps', 'banyakan', 'pada', 'golput', 'di', 'legislatif', 'loh', 'tambah', 'lagi', 'penjudi', 'online', 'katanya', 'juga', 'masuk']","['aneh', 'masih', 'mikir', 'ke', 'presiden', 'iya', 'tidak', 'mikir', 'ke', 'legislatif', 'masih', 'sih', 'merah', 'juga', 'yang', 'tinggi', 'nanti', 'presidennya', 'kalah', 'telak', 'sama', 'legislatifnya', 'karena', 'selama', 'aku', 'jadi', 'kpps', 'banyakan', 'pada', 'golput', 'di', 'legislatif', 'loh', 'tambah', 'lagi', 'penjudi', 'online', 'katanya', 'juga', 'masuk']","['aneh', 'masih', 'mikir', 'ke', 'presiden', 'iya', 'tidak', 'mikir', 'ke', 'legislatif', 'masih', 'sih', 'merah', 'juga', 'yang', 'tinggi', 'nanti', 'presiden', 'kalah', 'telak', 'sama', 'legislatif', 'karena', 'lama', 'aku', 'jadi', 'kpps', 'banyak', 'pada', 'golput', 'di', 'legislatif', 'loh', 'tambah', 'lagi', 'judi', 'online', 'kata', 'juga', 'masuk']","['aneh', 'mikir', 'presiden', 'tidak', 'mikir', 'legislatif', 'merah', 'tinggi', 'presiden', 'kalah', 'telak', 'legislatif', 'lama', 'aku', 'kpps', 'banyak', 'golput', 'legislatif', 'loh', 'tambah', 'judi', 'online', 'kata', 'masuk']",-1.2000000000000002,negatif
guszoomurtadz,@Elvandino3 @voidotid Udah cape cape perang.. eeh akhirnya gabung juga selatan Utara.. sama kyk pilpres.. udah cape cape bikin poros baru... 01 eeh akhirnya gabung juga ke pemenang... Politik selalu mengorbankan rakyatnya.. sudah bener Golput ye.. ,@Elvandino3 @voidotid Udah cape cape perang.. eeh akhirnya gabung juga selatan Utara.. sama kyk pilpres.. udah cape cape bikin poros baru... 01 eeh akhirnya gabung juga ke pemenang... Politik selalu mengorbankan rakyatnya.. sudah bener Golput ye.. ,@elvandino3 @voidotid udah cape cape perang.. eeh akhirnya gabung juga selatan utara.. sama kyk pilpres.. udah cape cape bikin poros baru... 01 eeh akhirnya gabung juga ke pemenang... politik selalu mengorbankan rakyatnya.. sudah bener golput ye.. ,udah cape cape perang eeh akhirnya gabung juga selatan utara sama kyk pilpres udah cape cape bikin poros baru eeh akhirnya gabung juga ke pemenang politik selalu mengorbankan rakyatnya sudah bener golput ye,"['udah', 'cape', 'cape', 'perang', 'eeh', 'akhirnya', 'gabung', 'juga', 'selatan', 'utara', 'sama', 'kyk', 'pilpres', 'udah', 'cape', 'cape', 'bikin', 'poros', 'baru', 'eeh', 'akhirnya', 'gabung', 'juga', 'ke', 'pemenang', 'politik', 'selalu', 'mengorbankan', 'rakyatnya', 'sudah', 'bener', 'golput', 'ye']","['sudah', 'capek', 'capek', 'perang', 'eeh', 'akhirnya', 'gabung', 'juga', 'selatan', 'utara', 'sama', 'kayak', 'pilpres', 'sudah', 'capek', 'capek', 'bikin', 'poros', 'baru', 'eeh', 'akhirnya', 'gabung', 'juga', 'ke', 'pemenang', 'politik', 'selalu', 'mengorbankan', 'rakyatnya', 'sudah', 'benar', 'golput', 'iya']","['sudah', 'capek', 'capek', 'perang', 'eeh', 'akhir', 'gabung', 'juga', 'selatan', 'utara', 'sama', 'kayak', 'pilpres', 'sudah', 'capek', 'capek', 'bikin', 'poros', 'baru', 'eeh', 'akhir', 'gabung', 'juga', 'ke', 'menang', 'politik', 'selalu', 'korban', 'rakyat', 'sudah', 'benar', 'golput', 'iya']","['capek', 'capek', 'perang', 'eeh', 'akhir', 'gabung', 'selatan', 'utara', 'kayak', 'pilpres', 'capek', 'capek', 'bikin', 'poros', 'baru', 'eeh', 'akhir', 'gabung', 'menang', 'politik', 'selalu', 'korban', 'rakyat', 'benar', 'golput']",2.0,positif
kalpanyata,@blantik_pedhet2 Kalo liat dia gak mau ksatria nerima kemungkinan aku golput aja kalau pilpres ulang. 16% an memangnya bisa buktikan kecurangan brp % lagi supaya menang sih ?,@blantik_pedhet2 Kalo liat dia gak mau ksatria nerima kemungkinan aku golput aja kalau pilpres ulang. 16% an memangnya bisa buktikan kecurangan brp % lagi supaya menang sih ?,@blantik_pedhet2 kalo liat dia gak mau ksatria nerima kemungkinan aku golput aja kalau pilpres ulang. 16% an memangnya bisa buktikan kecurangan brp % lagi supaya menang sih ?,kalo liat dia gak mau ksatria nerima kemungkinan aku golput aja kalau pilpres ulang an memangnya bisa buktikan kecurangan brp lagi supaya menang sih,"['kalo', 'liat', 'dia', 'gak', 'mau', 'ksatria', 'nerima', 'kemungkinan', 'aku', 'golput', 'aja', 'kalau', 'pilpres', 'ulang', 'an', 'memangnya', 'bisa', 'buktikan', 'kecurangan', 'brp', 'lagi', 'supaya', 'menang', 'sih']","['kalo', 'lihat', 'dia', 'enggak', 'mau', 'ksatria', 'menerima', 'kemungkinan', 'saya', 'golput', 'saja', 'kalau', 'pilpres', 'ulang', 'an', 'memangnya', 'bisa', 'buktikan', 'kecurangan', 'berapa', 'lagi', 'supaya', 'menang', 'sih']","['kalo', 'lihat', 'dia', 'enggak', 'mau', 'ksatria', 'terima', 'mungkin', 'saya', 'golput', 'saja', 'kalau', 'pilpres', 'ulang', 'an', 'memang', 'bisa', 'bukti', 'curang', 'berapa', 'lagi', 'supaya', 'menang', 'sih']","['kalo', 'lihat', 'enggak', 'mau', 'ksatria', 'terima', 'mungkin', 'golput', 'kalau', 'pilpres', 'ulang', 'an', 'memang', 'bukti', 'curang', 'berapa', 'menang']",0.0,netral
yoshifunf,@gibran_tweet Bro memasak. Tapi inget bro anda calon resmi wakil presiden. Mbok ya diturunkan egonya di publik gaada kharismanya sama sekali. Ga heran pada ngebandingin sama Moh. Hatta. Peace bro saya golput wkak.,@gibran_tweet Bro memasak. Tapi inget bro anda calon resmi wakil presiden. Mbok ya diturunkan egonya di publik gaada kharismanya sama sekali. Ga heran pada ngebandingin sama Moh. Hatta. Peace bro saya golput wkak.,@gibran_tweet bro memasak. tapi inget bro anda calon resmi wakil presiden. mbok ya diturunkan egonya di publik gaada kharismanya sama sekali. ga heran pada ngebandingin sama moh. hatta. peace bro saya golput wkak.,bro memasak tapi inget bro anda calon resmi wakil presiden mbok ya diturunkan egonya di publik gaada kharismanya sama sekali ga heran pada ngebandingin sama moh hatta peace bro saya golput wkak,"['bro', 'memasak', 'tapi', 'inget', 'bro', 'anda', 'calon', 'resmi', 'wakil', 'presiden', 'mbok', 'ya', 'diturunkan', 'egonya', 'di', 'publik', 'gaada', 'kharismanya', 'sama', 'sekali', 'ga', 'heran', 'pada', 'ngebandingin', 'sama', 'moh', 'hatta', 'peace', 'bro', 'saya', 'golput', 'wkak']","['bro', 'memasak', 'tapi', 'ingat', 'bro', 'anda', 'calon', 'resmi', 'wakil', 'presiden', 'mbok', 'iya', 'diturunkan', 'egonya', 'di', 'publik', 'enggak ada', 'karismanya', 'sama', 'sekali', 'tidak', 'heran', 'pada', 'ngebandingin', 'sama', 'moh', 'hatta', 'peace', 'bro', 'saya', 'golput', 'wkak']","['bro', 'masak', 'tapi', 'ingat', 'bro', 'anda', 'calon', 'resmi', 'wakil', 'presiden', 'mbok', 'iya', 'turun', 'ego', 'di', 'publik', 'enggak ada', 'karisma', 'sama', 'sekali', 'tidak', 'heran', 'pada', 'ngebandingin', 'sama', 'moh', 'hatta', 'peace', 'bro', 'saya', 'golput', 'wkak']","['bro', 'masak', 'ingat', 'bro', 'calon', 'resmi', 'wakil', 'presiden', 'mbok', 'turun', 'ego', 'publik', 'enggak ada', 'karisma', 'sekali', 'tidak', 'heran', 'ngebandingin', 'moh', 'hatta', 'peace', 'bro', 'golput', 'wkak']",2.8,positif
WSulchan,@Gank_Of_Petojo @JimlyAs Lah? Yang gak terlibat sama pemilu cuma yang golput Prof. Bener gak sih?,@Gank_Of_Petojo @JimlyAs Lah? Yang gak terlibat sama pemilu cuma yang golput Prof. Bener gak sih?,@gank_of_petojo @jimlyas lah? yang gak terlibat sama pemilu cuma yang golput prof. bener gak sih?,lah yang gak terlibat sama pemilu cuma yang golput prof bener gak sih,"['lah', 'yang', 'gak', 'terlibat', 'sama', 'pemilu', 'cuma', 'yang', 'golput', 'prof', 'bener', 'gak', 'sih']","['lah', 'yang', 'enggak', 'terlibat', 'sama', 'pemilu', 'cuma', 'yang', 'golput', 'prof', 'benar', 'enggak', 'sih']","['lah', 'yang', 'enggak', 'libat', 'sama', 'milu', 'cuma', 'yang', 'golput', 'prof', 'benar', 'enggak', 'sih']","['lah', 'enggak', 'libat', 'pemilu', 'golput', 'prof', 'benar', 'enggak']",2.0,positif
afridewi41,@palingteguh @DokterTifa 2004 : SBY 2009 : SBY 2014 : Golput ( ga ada yg menarik) 2019 : prabowo ( ijtima ulama dulu berharap anies yg nyalon ) 2024 : anies,@palingteguh @DokterTifa 2004 : SBY 2009 : SBY 2014 : Golput ( ga ada yg menarik) 2019 : prabowo ( ijtima ulama dulu berharap anies yg nyalon ) 2024 : anies,@palingteguh @doktertifa 2004 : sby 2009 : sby 2014 : golput ( ga ada yg menarik) 2019 : prabowo ( ijtima ulama dulu berharap anies yg nyalon ) 2024 : anies,sby sby golput ga ada yg menarik prabowo ijtima ulama dulu berharap anies yg nyalon anies,"['sby', 'sby', 'golput', 'ga', 'ada', 'yg', 'menarik', 'prabowo', 'ijtima', 'ulama', 'dulu', 'berharap', 'anies', 'yg', 'nyalon', 'anies']","['surabaya', 'surabaya', 'golput', 'tidak', 'ada', 'yang', 'menarik', 'prabowo', 'ijtima', 'ulama', 'dulu', 'berharap', 'anies', 'yang', 'nyalon', 'anies']","['surabaya', 'surabaya', 'golput', 'tidak', 'ada', 'yang', 'tarik', 'prabowo', 'ijtima', 'ulama', 'dulu', 'harap', 'anies', 'yang', 'nyalon', 'anies']","['surabaya', 'surabaya', 'golput', 'tidak', 'tarik', 'prabowo', 'ijtima', 'ulama', 'dulu', 'harap', 'anies', 'nyalon', 'anies']",0.8,positif
danihamid31,@JessicaNeo4 @JimlyAs Yg golput juga dihitung suaranya,@JessicaNeo4 @JimlyAs Yg golput juga dihitung suaranya,@jessicaneo4 @jimlyas yg golput juga dihitung suaranya,yg golput juga dihitung suaranya,"['yg', 'golput', 'juga', 'dihitung', 'suaranya']","['yang', 'golput', 'juga', 'dihitung', 'suaranya']","['yang', 'golput', 'juga', 'hitung', 'suara']","['golput', 'hitung', 'suara']",0.0,netral
RanggaLupaLagi,@grroombble Ada golput dong eh goput dong ,@grroombble Ada golput dong eh goput dong ,@grroombble ada golput dong eh goput dong ,ada golput dong eh goput dong,"['ada', 'golput', 'dong', 'eh', 'goput', 'dong']","['ada', 'golput', 'dong', 'eh', 'golput', 'dong']","['ada', 'golput', 'dong', 'eh', 'golput', 'dong']","['golput', 'dong', 'eh', 'golput', 'dong']",2.0,positif
